species	160	98	H1_4WK	H2_4WK	H3_4WK	H4_4WK	H5_4WK	H6_4WK	L1_4WK	L2_4WK	L3_4WK	L4_4WK	L5_4WK	L6_4WK
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriale;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter_smithii	2783	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__;c__;o__;f__;g__;__bacterium_LF-3	166	12	0	0	0	0	0	0	9	8	7	8	8	2
k__Bacteria;p__;c__;o__;f__;g__;__bacterium_MS4	8	0	0	0	0	0	0	0	6	4	0	2	6	2
k__Bacteria;p__;c__;o__Haloplamatales;f__Haloplasmataceae;g__Haloplasma;s__Haloplasma_contractile	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetale;f__Actinomycetaceae;g__Actinobaculum;s__Actinobaculum_sp._oral_taxon_183	26	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetale;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_gerencseriae	6	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetale;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_graevenitzii	11	0	0	0	0	0	0	0	0	0	0	0	1	2
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetale;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_hongkongensis	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetale;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_israelii	18	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetale;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_johnsonii	1	0	0	0	0	0	0	0	0	0	0	0	0	0
