,Invasion,CDiffDelta,Resistance,CDiffResistance,CDiffPromotion,InitialCDiffGrowth,SpeciesFound,SpeciesListed,ReadProportion,CDiffRisk
H1_4WK,True,96.29484135005335,0.9824047435393864,0.9878142877851603,1.9981245597832216,1.0103102719980612,20,29,0.8976636810367343,H
H2_4WK,True,91.5911017564436,0.9822514510826131,0.9880001587631623,2.00511705062591,1.0171168918627478,19,28,0.847711912107631,H
H3_4WK,True,96.29484135005335,0.9824047435393864,0.9878142877851603,1.9981245597832216,1.0103102719980612,20,29,0.8992521031284368,H
H4_4WK,True,91.20392116666353,0.9823662040180792,0.9880721245454834,1.9976014477835293,1.0095293232380458,19,28,0.8959807825442446,H
H5_4WK,True,91.59451844379643,0.9822132279409969,0.9879626950562443,2.005178273200698,1.0172155781444536,19,29,0.8669738968715361,H
H6_4WK,True,86.478974321292,0.9822105164390162,0.9882924234291971,2.004531160266562,1.0162387368373649,18,28,0.8943076053234364,H
L1_4WK,False,-0.9999999999999893,1.0003456011551197,0.9995591227917991,0.7403658199371402,-0.2591933028546589,33,49,0.9078113979225763,L
L2_4WK,False,-0.9999999999720978,1.0003702974598396,0.9995299708606559,0.7393978319051602,-0.2601321389554957,31,47,0.8929046170583316,L
L3_4WK,False,-0.9999999999998278,1.000333840496287,0.999656092325583,0.762777121961786,-0.2368789703637969,35,48,0.9091580187155706,L
L4_4WK,False,-1.000000000000001,1.0003776630285204,0.999611879011107,0.7396218686005466,-0.25999001041056047,34,50,0.9065102266229986,L
L5_4WK,False,-1.000000000000115,1.0003249827096279,0.9995091543014522,0.7387680339882099,-0.26074112031324226,32,55,0.8737423755841082,L
L6_4WK,True,157.29733982156293,0.9990256286634623,1.002041354358283,1.9661022407890558,0.9640608864307729,32,47,0.9089928184888402,L
